seed,fu_ran,fu_train_di,fu_targets_corrected,model_replaced,refit_from_fresh_initialisation,refit_iterations,returned_predictions_computed_before_refit,returned_equals_pre_update_exact,returned_equals_R2_class_with_FU,R2_class_model_replaced,n_test,n_cases_post_update_differs,max_abs_diff_post_vs_returned,returned_R2,returned_DI,returned_EOD,returned_AOD,HYPOTHETICAL_post_update_R2,HYPOTHETICAL_post_update_DI,HYPOTHETICAL_post_update_EOD,HYPOTHETICAL_post_update_AOD
52,True,0.5901039379300248,True,True,True,20,True,True,True,True,1500,1500,1.7492533054464614,0.7105690419225998,0.8387959334957111,0.0255313079446583,0.011393104952721306,0.707348765110057,0.7282230862322012,0.030462334698534987,0.045093912447306705
53,True,0.6684016294292943,True,True,True,20,True,True,True,True,1500,1500,2.527247091405897,0.689845086608502,0.8942871307340119,0.024137634962543175,0.046839706969142206,0.6946081308925137,0.7730101769043146,0.06839890956704653,0.03650981288902963
54,True,0.6423841746569067,True,True,True,20,True,True,True,True,1500,1500,1.9728170149593698,0.7150502988858465,0.8076367389060888,0.023934599484007335,0.020349068100679962,0.7146194081821251,0.6826786077752901,0.09311698942111435,0.0509846241366866
55,True,0.6743914428541419,True,True,True,20,True,True,True,True,1500,1500,1.404327426072685,0.7022340891658541,0.8401953418482344,0.005452635599694333,0.014725340282740612,0.7055147351552775,0.741859437159275,0.04104278074866308,0.04363966994422401
56,True,0.6599039610430399,True,True,True,20,True,True,True,True,1500,1500,1.841014949214049,0.6319223101160182,0.9061118791253724,0.008054417407158843,0.04858957875814712,0.6572105413914344,0.8206703476164554,0.02084731669688744,0.0015479631169250663
57,True,0.649927078235674,True,True,True,20,True,True,True,True,1500,1500,2.118025470309423,0.6853088642370706,0.944590694915593,0.04268412147119072,0.05943729883083346,0.6885408184274866,0.8035535551489573,0.018220678600053497,0.034963652653340116
58,True,0.6425716486865716,True,True,True,20,True,True,True,True,1500,1500,1.1855035686974045,0.7306493050076294,0.7904453974471535,0.021075810003145623,0.01776829715843556,0.7365718466650716,0.7129147132332522,0.06888958792072974,0.06397910768585507
59,True,0.676727239911126,True,True,True,20,True,True,True,True,1500,1500,2.293547115344282,0.6980326226140603,0.8637514998000267,0.02972237238396791,0.010318339462193751,0.6981891309930597,0.7330733782346686,0.08939879527376637,0.06391132212127326
60,True,0.6322159587326548,True,True,True,20,True,True,True,True,1500,1500,1.2631601972451172,0.7129412393315098,0.826723829939264,0.017327143094014286,0.016762350091882344,0.7089883759965384,0.7522511043153244,0.02303722434090527,0.03453023317573206
61,True,0.6476988217904139,True,True,True,20,True,True,True,True,1500,1500,1.550027413380973,0.7182019042260557,0.8408392835773266,0.054075851758596194,0.014089718707983354,0.7157620579950333,0.7929050059124951,0.08905106617357783,0.04253350121427896
62,True,0.6477623833050783,True,True,True,20,True,True,True,True,1500,1500,2.295754063403983,0.717531947898242,0.8180765762472278,0.015547329455314562,0.03329781059361657,0.7260816282698475,0.6781277522829463,0.08318350079323111,0.05665694902872269
63,True,0.6616857714701602,True,True,True,20,True,True,True,True,1500,1500,1.5531077986721957,0.6901692125868799,0.8222553885668669,0.048255702511021625,0.00647104830392585,0.6049701094849333,0.7847681072365718,0.07476519072263754,0.047246310443014444
64,True,0.6698586411308709,True,True,True,20,True,True,True,True,1500,1500,1.8773206065376833,0.6791370523712866,0.8508771929824562,0.039641629847815385,0.06926530430266226,0.7104932973122229,0.6612264606470304,0.07817869415807566,0.04342019758748997
65,True,0.6691860955177537,True,True,True,20,True,True,True,True,1500,1500,1.9824472290636042,0.7232632309728315,0.8621920229808862,0.03790141896938015,0.06591301547138631,0.7320964139625404,0.7563697355850388,0.019915359721184966,0.0008627192524895549
66,True,0.6500493520144595,True,True,True,20,True,True,True,True,1500,1500,2.813849373424299,0.6486161574659961,0.9217859064012912,0.07601229871280424,0.08603276262427886,0.6625760985579748,0.7380966859227728,0.009515868466308808,0.03144387183408458
