config,seed,interv_frac,alpha,boost,di_after_monitor,di_priv_after_monitor,efficiency_loss_rel,deviation_rel,efficiency_ok,reverse_ok,reaches_target,admissible,qualifying,selected
uniform bias=0.20 frac=1.00,70,1.0,0.7,1.0599521122798243,0.7940546707719238,1.2593591308113214,-0.00893064062959879,0.015885322966953264,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,70,1.0,1.0,1.0856458746854634,0.8564149852304519,1.1676582232279729,-0.006446536127049112,0.02269331852421896,True,True,True,True,True,True
uniform bias=0.20 frac=1.00,71,1.0,0.3,1.0194838798567099,0.7351887572333976,1.3601949025487257,-0.0021524333587964223,0.0053203123100709635,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,71,1.0,0.5,1.0324731330945165,0.7631578947368421,1.3103448275862069,-0.002548854623424562,0.008867187183451624,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,71,1.0,0.7,1.045462386332323,0.787131441168366,1.2704358480658147,-0.002114448441730405,0.01241406205683223,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,71,1.0,1.0,1.0649462661890328,0.8190961697437311,1.2208578637510512,9.496229266511946e-05,0.01773437436690319,True,True,False,True,False,True
uniform bias=0.30 frac=0.10,42,0.1,0.3,1.0238956428187198,0.6900663439124978,1.4491360270235156,0.0028717445637956064,0.0006967272558617158,True,True,False,True,False,False
uniform bias=0.30 frac=0.10,42,0.1,0.5,1.0398260713645329,0.6900663439124978,1.4491360270235156,0.006488403032298374,0.0011612120931028557,True,True,False,True,False,False
uniform bias=0.30 frac=0.10,42,0.1,0.7,1.0557564999103461,0.697776582391967,1.4331234742387253,0.011466791174912786,0.001625696930344001,True,True,False,True,False,True
uniform bias=0.30 frac=0.10,42,0.1,1.0,1.079652142729066,0.697776582391967,1.4331234742387253,0.0214876165277925,0.002322424186205717,True,True,False,True,False,False
uniform bias=0.30 frac=0.25,42,0.25,0.3,1.0238956428187198,0.6939214631522325,1.4410852713178293,0.0028717445637956064,0.0016762661517906595,True,True,False,True,False,False
uniform bias=0.30 frac=0.25,42,0.25,0.5,1.0398260713645329,0.7054868208714363,1.417460922607701,0.006488403032298374,0.002793776919651089,True,True,False,True,False,False
uniform bias=0.30 frac=0.25,42,0.25,0.7,1.0557564999103461,0.7170521785906401,1.3945986496624156,0.011466791174912786,0.003911287687511534,True,True,False,True,False,False
uniform bias=0.30 frac=0.25,42,0.25,1.0,1.079652142729066,0.7247624170701095,1.3797624938149429,0.0214876165277925,0.005587553839302193,True,True,False,True,False,True
uniform bias=0.30 frac=0.50,42,0.5,0.3,1.0238956428187198,0.7131970593509055,1.402137020741672,0.0028717445637956064,0.0033810350417296845,True,True,False,True,False,False
uniform bias=0.30 frac=0.50,42,0.5,0.5,1.0398260713645329,0.7324726555495786,1.3652386780905752,0.006488403032298374,0.005635058402882788,True,True,False,True,False,False
uniform bias=0.30 frac=0.50,42,0.5,0.7,1.0557564999103461,0.7478931325085172,1.3370894269959241,0.011466791174912786,0.007889081764035922,True,True,False,True,False,False
uniform bias=0.30 frac=0.50,42,0.5,1.0,1.079652142729066,0.7710238479469248,1.2969767441860467,0.0214876165277925,0.011270116805765605,True,True,False,True,False,True
uniform bias=0.30 frac=0.75,42,0.75,0.3,1.0238956428187198,0.7170521785906401,1.3945986496624156,0.0028717445637956064,0.005011272870545322,True,True,False,True,False,False
uniform bias=0.30 frac=0.75,42,0.75,0.5,1.0398260713645329,0.7440380132687825,1.344017351488131,0.006488403032298374,0.008352121450908839,True,True,False,True,False,False
uniform bias=0.30 frac=0.75,42,0.75,0.7,1.0557564999103461,0.7825892056661288,1.277809600183297,0.011466791174912786,0.011692970031272402,True,True,False,True,False,False
uniform bias=0.30 frac=0.75,42,0.75,1.0,1.079652142729066,0.8172852788237404,1.2235629662132514,0.0214876165277925,0.016704242901817726,True,True,False,True,False,True
uniform bias=0.30 frac=1.00,42,1.0,0.3,1.0238956428187198,0.7363277747893132,1.3580908316084257,0.0028717445637956064,0.006689874028869689,True,True,False,True,False,False
uniform bias=0.30 frac=1.00,42,1.0,0.5,1.0398260713645329,0.7633136094674556,1.3100775193798448,0.006488403032298374,0.011149790048116106,True,True,False,True,False,False
uniform bias=0.30 frac=1.00,42,1.0,0.7,1.0557564999103461,0.8057199211045366,1.2411260709914318,0.011466791174912786,0.015609706067362587,True,True,False,True,False,False
