seed,variant,monitor_threshold,triggered,di_before_monitor,selected_alpha,R2,RMSE,DI,EOD,AOD
49,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6280510096557063,1.0,0.7120765047717005,2.1215824635944247,0.8868841530289672,0.008559957578971211,0.05269840466916102
50,Algorithm 1,median(y_train) [aligned],True,0.6206955824213602,1.0,0.7375735676958384,2.0701904650799485,0.8341832349739299,0.014767069701280167,0.038238335787408234
50,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6206955824213602,1.0,0.7375735676958384,2.0701904650799485,0.8341832349739299,0.014767069701280167,0.038238335787408234
51,Algorithm 1,median(y_train) [aligned],True,0.7236662106703146,1.0,0.7259550336433738,2.062674743488442,0.8628327896453751,0.025210084033613467,0.01702978944386742
51,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.7236662106703146,1.0,0.7259550336433738,2.062674743488442,0.8628327896453751,0.025210084033613467,0.01702978944386742
52,Algorithm 1,median(y_train) [aligned],True,0.6729323308270677,1.0,0.7095603037346873,2.0720933667549097,0.8672296939531928,0.037227214377406836,0.025084195423997535
52,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6729323308270677,1.0,0.7095603037346873,2.0720933667549097,0.8672296939531928,0.037227214377406836,0.025084195423997535
53,Algorithm 1,median(y_train) [aligned],True,0.6040360444431483,1.0,0.698112268462957,2.194124945216124,0.8785978828263976,0.01155901861034192,0.0367768138873812
53,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6040360444431483,1.0,0.698112268462957,2.194124945216124,0.8785978828263976,0.01155901861034192,0.0367768138873812
54,Algorithm 1,median(y_train) [aligned],True,0.5990712074303406,1.0,0.7087459981679164,2.1437709985014295,0.8697626418988649,0.007511941396495803,0.05298963177401424
54,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.5990712074303406,1.0,0.7087459981679164,2.1437709985014295,0.8697626418988649,0.007511941396495803,0.05298963177401424
55,Algorithm 1,median(y_train) [aligned],True,0.7008264462809918,1.0,0.7046864970064141,2.141834749373729,0.8242674680691209,0.00591100076394202,0.005255643313043651
55,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.7008264462809918,1.0,0.7046864970064141,2.141834749373729,0.8242674680691209,0.00591100076394202,0.005255643313043651
56,Algorithm 1,median(y_train) [aligned],True,0.7309527054654492,1.0,0.6643364572916373,2.280085877790757,0.8421114118265542,0.00928662305526895,0.01223739762727924
56,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.7309527054654492,1.0,0.6643364572916373,2.280085877790757,0.8421114118265542,0.00928662305526895,0.01223739762727924
57,Algorithm 1,median(y_train) [aligned],True,0.6901437549567802,1.0,0.7153353163573841,2.1498408218833016,0.8469946083560485,0.005842016208032819,0.0012435189265272428
