config,used_by,seed,interv_frac,bitwise_identical_to_R2,max_abs_diff_vs_R2,triggered,di_before_monitor,selected_alpha,selection_rule,n_qualifying,n_admissible,n_efficiency_rejections,n_reverse_rejections,di_after_monitor,n_routed,n_unpriv,R2,RMSE,DI,EOD,AOD,deposited_DI,abs_diff_R2routine_vs_deposited_DI
uniform bias=0.30 frac=0.50,interv. sweep (30 seeds); reverse discr. (seeds 42-56),70,0.5,True,0.0,True,0.569954128440367,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.6943807339449541,218,436,0.7089543696853833,2.1432445847310637,0.6703341953123713,0.12585902021460427,0.0668058485561313,0.6703341953123713,0.0
uniform bias=0.30 frac=1.00,bias sens.; interv. sweep; ablation; reverse discr.; binarization,70,1.0,True,0.0,True,0.569954128440367,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8549311926605505,436,436,0.7090466929652695,2.1429046259009854,0.8412036960782698,0.006098541172688154,0.02839037609493829,0.8412036960782698,0.0
uniform bias=0.30 frac=0.10,interv. sweep (30 seeds); reverse discr. (seeds 42-56),71,0.1,True,0.0,True,0.5867495371594815,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.6250991801110817,45,456,0.7399204313112997,2.058861036373055,0.6135460053010223,0.16108119522753672,0.08766935391997585,0.6135460053010223,0.0
uniform bias=0.30 frac=0.25,interv. sweep (30 seeds); reverse discr. (seeds 42-56),71,0.25,True,0.0,True,0.5867495371594815,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.6672837873578418,114,456,0.7362526333983461,2.073327855986984,0.6629591063990912,0.12471755886390035,0.05917825738764221,0.6629591063990912,0.0
uniform bias=0.30 frac=0.50,interv. sweep (30 seeds); reverse discr. (seeds 42-56),71,0.5,True,0.0,True,0.5867495371594815,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.732478180375562,228,456,0.7327167447135092,2.0871794619058,0.7288432411965163,0.08229331643965787,0.022502218649747774,0.7288432411965163,0.0
uniform bias=0.30 frac=1.00,bias sens.; interv. sweep; ablation; reverse discr.; binarization,71,1.0,True,0.0,True,0.5867495371594815,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8475271092303622,456,456,0.7236770796730372,2.122180754197695,0.8482582355168496,0.03380846795480941,0.03782267981948058,0.8482582355168496,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,42,1.0,True,0.0,True,0.5605008146814167,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.907126318497556,468,468,0.6641023663670415,2.2377901911481786,0.906267332224071,0.04670745345700944,0.06884406216616236,0.906267332224071,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,43,1.0,True,0.0,True,0.5540894055246071,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8535971922946649,461,461,0.6794639700745062,2.266056485881106,0.8646184057965968,0.061604526212959865,0.060707848364129804,0.8646184057965968,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,44,1.0,True,0.0,True,0.5002912692055633,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8658887351634749,443,443,0.6765550370742384,2.2365134903914434,0.8575894821107897,0.028229600752789352,0.025181088919494637,0.8575894821107897,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,45,1.0,True,0.0,True,0.5356844741235391,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8443238731218697,480,480,0.6903969189996821,2.2064001193350147,0.827922077922078,0.04869966442953022,0.06040525674306699,0.827922077922078,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,46,1.0,True,0.0,True,0.5803208461028204,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.9152711331151866,449,449,0.7059119485822609,2.1658139809021537,0.8808424450773302,0.018622740791580883,0.05536942400737882,0.8808424450773302,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,47,1.0,True,0.0,True,0.48178937315506165,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8565144411645541,443,443,0.6932931979566271,2.1574825894677123,0.8468962539924122,0.030529801324503336,0.061441574023361936,0.8468962539924122,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,48,1.0,True,0.0,True,0.509531872474752,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8834329587511887,463,463,0.6637980876227099,2.3043258292984117,0.878472088521411,0.016548463356973908,0.0883660679626496,0.878472088521411,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,49,1.0,False,1.0721815605309821,True,0.5036728211236847,0.7,target not reachable; largest admissible DI,0.0,3.0,1.0,0.0,0.7886969757130566,438,438,0.708811122945874,2.150502684678439,0.8217923245843355,0.002147525676937434,0.0494655757039658,0.8995294363693401,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,50,1.0,True,0.0,True,0.5198429541595925,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8090513582342954,465,465,0.704899792355646,2.207895071571158,0.7940926356369409,0.007871097369473445,0.051247394181099235,0.7940926356369409,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,51,1.0,True,0.0,True,0.5934377846876624,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8881652750694544,442,442,0.6999027549703685,2.167917550456802,0.8862495792977075,0.005060304720746145,0.06401958022106959,0.8862495792977075,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,52,1.0,True,0.0,True,0.6146030411323663,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8361946137855325,426,426,0.710307437034297,2.0741953482795354,0.8568242193373766,0.056441979522184216,0.04348199062390487,0.8568242193373766,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,53,1.0,False,1.1405734026953596,True,0.4595899569157629,0.7,target not reachable; largest admissible DI,0.0,3.0,1.0,0.0,0.82326548804041,424,424,0.7130341563854385,2.1552928857353804,0.8287293632075471,0.016054479376168773,0.045775915533563596,0.908033608490566,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,54,1.0,True,0.0,True,0.5156264753092249,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8607308091776037,425,425,0.6959362788843392,2.2025843984753894,0.8445663010967098,0.04566815820835113,0.07409987216227523,0.8445663010967098,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,55,1.0,True,0.0,True,0.5972621388594765,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8257449705037059,440,440,0.6779891128058028,2.2510159517823074,0.847067448680352,0.03025697706548769,0.0563584167337188,0.847067448680352,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,56,1.0,False,1.0734818752818391,True,0.5201842492482887,0.7,target not reachable; largest admissible DI,0.0,3.0,1.0,0.0,0.837459748789798,462,462,0.619988642052534,2.4370614638697723,0.882058682058682,0.008818380038882467,0.057402374768013714,0.971928811928812,1.1102230246251565e-16
uniform bias=0.40 frac=1.00,bias sensitivity,57,1.0,False,0.9833562146290156,True,0.5057483614483722,0.7,target not reachable; largest admissible DI,0.0,3.0,1.0,0.0,0.8054510941585187,454,454,0.6841882074275772,2.273736708609558,0.8518297648590244,0.027950773820622832,0.039709268252934166,0.9356712771482985,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,58,1.0,True,0.0,True,0.5445490294821189,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8853818752730854,442,442,0.7311011571601054,2.0902225575938607,0.866741698631815,0.04773220677110834,0.05044239088755963,0.866741698631815,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,59,1.0,True,0.0,True,0.5224906026870021,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8683117210122119,455,455,0.6366037942074929,2.3196799823588985,0.905742145178765,0.010789618294796521,0.053097249891076115,0.905742145178765,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,60,1.0,True,0.0,True,0.5874587458745874,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8036762009534286,432,432,0.7033437967644468,2.126647755624282,0.8121883903133903,0.03189841716187569,0.03854626574434028,0.8121883903133903,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,61,1.0,True,0.0,True,0.6272857863881662,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8391505221881429,430,430,0.6994783005201386,2.1110505578821113,0.8629032258064517,0.025753620963201884,0.0202030374271443,0.8629032258064517,0.0
