seed,variant,selected_alpha,selected_boost,R2,RMSE,DI,EOD,AOD
59,"Single fixed candidate, alpha=1.0",1.0,1.127473643108161,0.6980326226140603,2.103820032434137,0.8637514998000267,0.02972237238396791,0.010318339462193751
59,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.036421040888046,0.7142455569083819,2.046562765577159,0.7005542118193766,0.09493976368831569,0.0757958912453307
59,"No correction, same base (R2 label ""w/o HED"")",,,0.7117474036180025,2.0554891395452994,0.6090045136838899,0.16559193760135915,0.12957216270369745
60,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.0906967984934088,0.7129412393315098,2.080406895180343,0.826723829939264,0.017327143094014286,0.016762350091882344
60,"Single fixed candidate, alpha=0.3",0.3,1.0272090395480227,0.729868775844291,2.0181352823554577,0.7353072525902108,0.01948267285690597,0.03324107089473019
60,"Single fixed candidate, alpha=0.5",0.5,1.0453483992467043,0.726633217026813,2.0301856453371454,0.7551804215791355,0.01334770353175263,0.02273864199423531
60,"Single fixed candidate, alpha=0.7",0.7,1.0634877589453862,0.722116954060396,2.04688718523782,0.779028224365845,0.007212734206599292,0.010377477034260868
60,"Single fixed candidate, alpha=1.0",1.0,1.0906967984934088,0.7129412393315098,2.080406895180343,0.826723829939264,0.017327143094014286,0.016762350091882344
60,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0259133709981167,0.7300508806520851,2.0174549202501626,0.7353072525902108,0.01948267285690597,0.03324107089473019
60,"No correction, same base (R2 label ""w/o HED"")",,,0.7323207937912475,2.0089549575604617,0.6915862808145766,0.062427458132979674,0.06214840777068527
61,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.0455645258464876,0.7182019042260557,2.040495184504397,0.8408392835773266,0.054075851758596194,0.014089718707983354
61,"Single fixed candidate, alpha=0.3",0.3,1.0136693577539462,0.7189946911913622,2.0376228844920132,0.7597431090191072,0.10435518136753474,0.05914970223755224
61,"Single fixed candidate, alpha=0.5",0.5,1.0227822629232437,0.7191690370774644,2.0369906788432606,0.7810842075870598,0.08759540483122197,0.046785750224375935
61,"Single fixed candidate, alpha=0.7",0.7,1.0318951680925412,0.7190226978054719,2.0375213413218067,0.8024253061550123,0.07642222047367997,0.03522306242807505
61,"Single fixed candidate, alpha=1.0",1.0,1.0455645258464876,0.7182019042260557,2.040495184504397,0.8408392835773266,0.054075851758596194,0.014089718707983354
61,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0130184359561394,0.71896996679804,2.0377125231571074,0.7554748893055168,0.10435518136753474,0.0611417341100622
61,"No correction, same base (R2 label ""w/o HED"")",,,0.7181318876907814,2.0407486630266303,0.7341337907375644,0.10994177354630574,0.07190315768948753
62,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.1473563218390805,0.717531947898242,2.089801382849641,0.8180765762472278,0.015547329455314562,0.03329781059361657
62,"Single fixed candidate, alpha=0.3",0.3,1.0442068965517242,0.7304823829304903,2.0413333167934606,0.6387121932197607,0.06832363828662091,0.06087647924750043
62,"Single fixed candidate, alpha=0.5",0.5,1.0736781609195403,0.7302217926136824,2.0423199372242684,0.6912090858131656,0.04251718667371762,0.03304788030672043
62,"Single fixed candidate, alpha=0.7",0.7,1.1031494252873564,0.7272095751143783,2.0536900823057462,0.7437059784065707,0.0360655737704918,0.00929968579540602
62,"Single fixed candidate, alpha=1.0",1.0,1.1473563218390805,0.717531947898242,2.089801382849641,0.8180765762472278,0.015547329455314562,0.03329781059361657
62,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0421018062397374,0.7303957046680749,2.041661542092753,0.6343374521703103,0.06832363828662091,0.06274215088929147
62,"No correction, same base (R2 label ""w/o HED"")",,,0.7257139674385218,2.059312193424128,0.5643415953791037,0.13929138022210474,0.10755438006598861
63,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.061300654086159,0.6901692125868799,2.239729355000937,0.8222553885668669,0.048255702511021625,0.00647104830392585
63,"Single fixed candidate, alpha=0.3",0.3,1.0183901962258477,0.7069839393235943,2.1781057896694547,0.7579049668529381,0.06987732413264325,0.041843262623508584
63,"Single fixed candidate, alpha=0.5",0.5,1.0306503270430796,0.7029927870788613,2.192889534775523,0.7757800839956961,0.05906651332183244,0.031174699323366334
63,"Single fixed candidate, alpha=0.7",0.7,1.0429104578603112,0.6983511905186658,2.2099582264760813,0.7936552011384541,0.05366110791642709,0.021454452761014542
