fold,seed,model,Acc,DI,EOD,AOD
0,87,DL,0.735,1.371034482758621,0.175,0.08130804953560371
0,87,Debiased-HITL,0.735,1.371034482758621,0.175,0.08130804953560371
0,87,FE-HITL,0.725,0.9793103448275864,0.024999999999999967,0.006849845201238408
0,88,DL,0.695,3.264367816091954,0.07500000000000001,0.054011867905056764
0,88,Debiased-HITL,0.695,0.0,0.025,0.02230392156862745
0,88,FE-HITL,0.69,0.8160919540229885,0.025,0.009146026831785347
0,89,DL,0.78,1.722860791826309,0.2,0.1348297213622291
0,89,Debiased-HITL,0.785,1.632183908045977,0.2,0.121671826625387
0,89,FE-HITL,0.78,1.1787994891443168,0.04999999999999999,0.020356037151702776
0,90,DL,0.72,8.977011494252872,0.3,0.19772961816305468
0,90,Debiased-HITL,0.705,0.0,0.05,0.029901960784313727
0,90,FE-HITL,0.71,0.8160919540229885,0.0,0.004901960784313725
0,91,DL,0.73,1.142528735632184,0.024999999999999994,0.009404024767801854
0,91,Debiased-HITL,0.73,1.142528735632184,0.024999999999999994,0.009404024767801854
0,91,FE-HITL,0.73,1.142528735632184,0.024999999999999994,0.009404024767801854
1,42,DL,0.73,0.8545081967213114,0.057142857142857106,0.04833638583638582
1,42,Debiased-HITL,0.73,0.8545081967213114,0.057142857142857106,0.04833638583638582
1,42,FE-HITL,0.73,0.8545081967213114,0.057142857142857106,0.04833638583638582
1,43,DL,0.72,1.3925318761384335,0.21142857142857147,0.0880860805860806
1,43,Debiased-HITL,0.72,1.3925318761384335,0.21142857142857147,0.0880860805860806
1,43,FE-HITL,0.72,1.0127504553734064,0.09142857142857147,0.013580586080586064
1,44,DL,0.74,1.3292349726775956,0.09714285714285714,0.03254578754578754
1,44,Debiased-HITL,0.74,1.3292349726775956,0.09714285714285714,0.03254578754578754
1,44,FE-HITL,0.73,0.9494535519125682,0.022857142857142854,0.041343101343101346
1,45,DL,0.72,1.2659380692167577,0.24,0.06978632478632478
1,45,Debiased-HITL,0.72,1.2659380692167577,0.24,0.06978632478632478
1,45,FE-HITL,0.705,0.9494535519125683,0.07999999999999996,0.024102564102564117
1,46,DL,0.76,1.464871194379391,0.19999999999999996,0.07435897435897434
1,46,Debiased-HITL,0.76,1.464871194379391,0.19999999999999996,0.07435897435897434
1,46,FE-HITL,0.735,1.0579625292740047,0.0,0.02564102564102564
1,47,DL,0.755,1.1993097497842966,0.022857142857142854,0.017304639804639803
1,47,Debiased-HITL,0.755,1.1993097497842966,0.022857142857142854,0.017304639804639803
1,47,FE-HITL,0.755,1.1993097497842966,0.022857142857142854,0.017304639804639803
1,48,DL,0.75,0.7595628415300546,0.07428571428571429,0.07079670329670329
