model,seed,Acc,DI,EOD,AOD
FE-HITL,87,0.75,0.8833333333333333,0.016666666666666663,0.027276164549304295
LR,88,0.7566666666666667,1.2223582211342312,0.0,0.02353896103896104
DL,88,0.6833333333333333,1.809725158562368,0.08333333333333333,0.0514069264069264
Debiased-HITL,88,0.6766666666666666,0.904862579281184,0.01666666666666667,0.0075216450216450265
FE-HITL,88,0.68,1.1310782241014798,0.016666666666666663,0.00914502164502164
LR,89,0.7233333333333334,1.6712630998345286,0.15658564160542682,0.13379698361492431
DL,89,0.6966666666666667,1.2825396825396824,0.02035048049745619,0.05164918412785237
Debiased-HITL,89,0.6966666666666667,1.2825396825396824,0.02035048049745619,0.05164918412785237
FE-HITL,89,0.7,1.053514739229025,0.04861503674392309,0.0045727049276198806
LR,90,0.7466666666666667,1.5714285714285714,0.1770334928229665,0.1015612110212836
DL,90,0.7233333333333334,1.9139194139194138,0.033492822966507185,0.02207762745421548
Debiased-HITL,90,0.72,0.7655677655677656,0.027113237639553422,0.016846092503987237
FE-HITL,90,0.72,0.7655677655677656,0.027113237639553422,0.016846092503987237
LR,91,0.75,1.38159111933395,0.04500000000000004,0.005990028490028471
DL,91,0.72,1.5653495440729484,0.03,0.006011396011396011
Debiased-HITL,91,0.72,1.5653495440729484,0.03,0.006011396011396011
FE-HITL,91,0.72,1.2522796352583587,0.05499999999999999,0.015747863247863245
