fold,seed,model,R2,RMSE,DI,EOD,AOD
0,50,DL,0.7429940795941191,2.0053002231278483,0.6219866956428344,0.16015282973811984,0.08649330379882478
0,50,Debiased-HITL,0.6401003567405217,2.3730044152876166,0.7517102910737752,0.06655788161001885,0.04548999877735685
0,50,FE-HITL,0.5774398679052366,2.5712961408470543,0.9574415286308083,0.011873490939000697,0.07260609462183487
0,51,DL,0.7357422442980583,2.0333948034276492,0.5987884628622565,0.17485871209106107,0.09794853198593337
0,51,Debiased-HITL,0.7358645593697832,2.03292415760415,0.6800498437556969,0.10168749502507368,0.05902724486070815
0,51,FE-HITL,0.7075599938968395,2.1390760753215305,0.9057301016392246,0.03066544615139699,0.06821792801760351
1,42,DL,0.726667475702087,2.029133257631395,0.7148427078823184,0.06171823568136936,0.057010457231790594
1,42,Debiased-HITL,0.7205904238695664,2.0515662984038054,0.7391619964568742,0.06710829493087556,0.05653464563468201
1,42,FE-HITL,0.7050550759120697,2.1078290041112964,0.8491899272271722,0.022753456221198176,0.005757386900672443
1,43,DL,0.7389373061684708,1.9830666937148984,0.6706121345148772,0.10039499670836083,0.08791662199847221
1,43,Debiased-HITL,0.7299762033197936,2.0168143958395293,0.7184787110542562,0.08492429229756426,0.06695168700171528
1,43,FE-HITL,0.7140829372011391,2.075319418825028,0.8930890750953305,0.0037853851217906076,0.03327707720939482
1,44,DL,0.7351840321107637,1.9972710050568752,0.691902830565688,0.07278637261356158,0.0724968010657737
1,44,Debiased-HITL,0.7180159823893599,2.0609960522227144,0.6896629648008239,0.10327518104015798,0.06296003961303324
1,44,FE-HITL,0.7233815952794089,2.041293483393829,0.8138676693621096,0.01456550362080311,0.004317435199796056
1,45,DL,0.7287447460705496,2.0214080566717563,0.6935169835431453,0.08105661619486504,0.06936213287258053
1,45,Debiased-HITL,0.7312522642190922,2.012043287254197,0.7006265731509597,0.07402073732718895,0.059641379953640807
1,45,FE-HITL,0.7320199061360384,2.009167666229111,0.8137322082784689,0.009504608294930827,0.0012699796914280859
1,46,DL,0.7297015221737453,2.017839935225427,0.6807547392715045,0.07936965108624094,0.08045212282915812
1,46,Debiased-HITL,0.7384508764434421,1.9849133261328704,0.713046903290155,0.07365042791310072,0.0611018224062636
1,46,FE-HITL,0.7290543931968401,2.0202539740928254,0.8675403990030217,0.005102040816326481,0.023315637617768212
1,47,DL,0.7346950872983051,1.999113992383153,0.6617882906396815,0.09784397630019748,0.09255461494903036
1,47,Debiased-HITL,0.7319182667764242,2.009548648175314,0.7460583339980326,0.04480743910467411,0.04770101484791964
1,47,FE-HITL,0.7145354057614511,2.073676654701162,0.8895310905361156,0.0035796576695193982,0.03093379428416279
1,48,DL,0.7221759585095813,2.0457371188261275,0.694834223680822,0.07932850559578675,0.06769032313039194
1,48,Debiased-HITL,0.7373015491910929,1.9892697052326862,0.7177446510905041,0.05834430546412117,0.0553234921231665
1,48,FE-HITL,0.7308359997744678,2.0136009152876966,0.8449399057141378,0.0018926925608953038,0.01301692750896219
1,49,DL,0.7363332889692158,1.992932382227829,0.6859381509918459,0.08467741935483875,0.07601906110846399
