Exp,variant,seed,R2,RMSE,DI,EOD,AOD
Ablation,w/o F&U,51,0.718878449082966,2.089136930070385,0.8946422934111032,0.0023529411764705577,0.035948997576558714
Ablation,Full,52,0.7105690419225998,2.0684919001108995,0.8387959334957111,0.0255313079446583,0.011393104952721306
Ablation,w/o HED,52,0.7034730015528119,2.0936951849234458,0.6729323308270677,0.062187990300955676,0.07168223044459548
Ablation,w/o MOG,52,0.7072352958021093,2.0803705246774777,0.7155829715132903,0.02125231778633585,0.0472928255598346
Ablation,w/o F&U,52,0.7105690419225998,2.0684919001108995,0.8387959334957111,0.0255313079446583,0.011393104952721306
Ablation,Full,53,0.6898450866085017,2.2239650387411998,0.8942871307340119,0.024137634962543175,0.046839706969142206
Ablation,w/o HED,53,0.7372752687681992,2.0468645346994054,0.6040360444431483,0.18969884302487827,0.13555023013777606
Ablation,w/o MOG,53,0.7318406912118555,2.0679263243234716,0.6942492199119302,0.09535922038336875,0.0732860791943798
Ablation,w/o F&U,53,0.6898450866085017,2.2239650387411998,0.8942871307340119,0.024137634962543175,0.046839706969142206
Ablation,Full,54,0.7150502988858467,2.120442712004202,0.8076367389060888,0.023934599484007335,0.020349068100679962
Ablation,w/o HED,54,0.7131324971280087,2.1275663715766884,0.5990712074303406,0.14972076300602,0.09329589335957449
Ablation,w/o MOG,54,0.7175886072086464,2.110977221423819,0.6745098039215687,0.08053837306891298,0.047426502902299175
Ablation,w/o F&U,54,0.7150502988858467,2.120442712004202,0.8076367389060888,0.023934599484007335,0.020349068100679962
Ablation,Full,55,0.7022340891658541,2.1507097115172753,0.8401953418482344,0.005452635599694333,0.014725340282740612
Ablation,w/o HED,55,0.7170989458281947,2.096339369964158,0.7008264462809918,0.07409281894576014,0.0648201142627139
Ablation,w/o MOG,55,0.7151646781897758,2.103493768770142,0.7247182569496619,0.051365546218487435,0.04966859911119875
Ablation,w/o F&U,55,0.7022340891658541,2.1507097115172753,0.8401953418482344,0.005452635599694333,0.014725340282740612
Ablation,Full,56,0.6319223101160184,2.387640104505544,0.9061118791253724,0.008054417407158843,0.04858957875814712
Ablation,w/o HED,56,0.6822179831801398,2.2185221862069553,0.7309527054654492,0.055529397621742915,0.05413658481166708
Ablation,w/o MOG,56,0.6726212874653094,2.251771592519776,0.8050585097061859,0.02084731669688744,0.009113883449585358
Ablation,w/o F&U,56,0.6319223101160184,2.387640104505544,0.9061118791253724,0.008054417407158843,0.04858957875814712
Ablation,Full,57,0.6853088642370702,2.260381607230197,0.944590694915593,0.04268412147119072,0.05943729883083346
Ablation,w/o HED,57,0.7328650475561532,2.08259522200779,0.6901437549567802,0.07310535221301984,0.09504834710218091
Ablation,w/o MOG,57,0.7269718589358181,2.105441679105421,0.7842542669963412,0.009947457476177646,0.0350603088246689
Ablation,w/o F&U,57,0.6853088642370702,2.260381607230197,0.944590694915593,0.04268412147119072,0.05943729883083346
Ablation,Full,58,0.7306493050076295,2.0858962170629987,0.7904453974471535,0.021075810003145623,0.01776829715843556
Ablation,w/o HED,58,0.71643812527427,2.1402157992076933,0.5984162895927602,0.18150361748977661,0.12347239698018242
Ablation,w/o MOG,58,0.722401839167971,2.117590297762751,0.6564716012696697,0.13337527524378734,0.09156508860228582
Ablation,w/o F&U,58,0.7306493050076295,2.0858962170629987,0.7904453974471535,0.021075810003145623,0.01776829715843556
Ablation,Full,59,0.6980326226140603,2.1038200324341374,0.8637514998000267,0.02972237238396791,0.010318339462193751
Ablation,w/o HED,59,0.7117474036180027,2.055489139545299,0.6090045136838899,0.16559193760135915,0.12957216270369745
Ablation,w/o MOG,59,0.7142455569083819,2.046562765577159,0.7005542118193766,0.09493976368831569,0.0757958912453307
Ablation,w/o F&U,59,0.6980326226140603,2.1038200324341374,0.8637514998000267,0.02972237238396791,0.010318339462193751
Ablation,Full,60,0.7129412393315098,2.080406895180343,0.826723829939264,0.017327143094014286,0.016762350091882344
Ablation,w/o HED,60,0.7323207937912475,2.0089549575604617,0.6915862808145766,0.062427458132979674,0.06214840777068527
Ablation,w/o MOG,60,0.7300508806520852,2.0174549202501626,0.7353072525902108,0.01948267285690597,0.03324107089473019
Ablation,w/o F&U,60,0.7129412393315098,2.080406895180343,0.826723829939264,0.017327143094014286,0.016762350091882344
Ablation,Full,61,0.7182019042260557,2.040495184504397,0.8408392835773266,0.054075851758596194,0.014089718707983354
Ablation,w/o HED,61,0.7181318876907814,2.0407486630266303,0.7341337907375644,0.10994177354630574,0.07190315768948753
Ablation,w/o MOG,61,0.71896996679804,2.037712523157108,0.7554748893055168,0.10435518136753474,0.0611417341100622
Ablation,w/o F&U,61,0.7182019042260557,2.040495184504397,0.8408392835773266,0.054075851758596194,0.014089718707983354
Ablation,Full,62,0.7175319478982423,2.08980138284964,0.8180765762472278,0.015547329455314562,0.03329781059361657
Ablation,w/o HED,62,0.7257139674385221,2.059312193424127,0.5643415953791037,0.13929138022210474,0.10755438006598861
Ablation,w/o MOG,62,0.7303957046680751,2.041661542092752,0.6343374521703103,0.06832363828662091,0.06274215088929147
Ablation,w/o F&U,62,0.7175319478982423,2.08980138284964,0.8180765762472278,0.015547329455314562,0.03329781059361657
Ablation,Full,63,0.6901692125868792,2.23972935500094,0.8222553885668669,0.048255702511021625,0.00647104830392585
Ablation,w/o HED,63,0.7117510845992007,2.1603150821601584,0.7400298497101802,0.08609354034885952,0.05346014266144128
Ablation,w/o MOG,63,0.7072441321759422,2.177138516026479,0.7579049668529381,0.06987732413264325,0.041843262623508584
Ablation,w/o F&U,63,0.6901692125868792,2.23972935500094,0.8222553885668669,0.048255702511021625,0.00647104830392585
Ablation,Full,64,0.6791370523712871,2.2062218993325713,0.8508771929824562,0.039641629847815385,0.06926530430266226
Ablation,w/o HED,64,0.6767264463987603,2.2144939358400664,0.5394736842105263,0.15083456062837508,0.08949070624487923
Ablation,w/o MOG,64,0.6838840935336106,2.1898409934925245,0.5964912280701754,0.12107265586647031,0.0615804379030148
Ablation,w/o F&U,64,0.6791370523712871,2.2062218993325713,0.8508771929824562,0.039641629847815385,0.06926530430266226
Ablation,Full,65,0.7232632309728315,2.1320598944994913,0.8621920229808862,0.03790141896938015,0.06591301547138631
Ablation,w/o HED,65,0.7575189714576835,1.995744083996528,0.6417228298898834,0.08389345282549165,0.06225714769877687
Ablation,w/o MOG,65,0.7529009601057615,2.0146587611125155,0.7165248775457593,0.026201145133183945,0.01522917567080484
Ablation,w/o F&U,65,0.7232632309728315,2.1320598944994913,0.8621920229808862,0.03790141896938015,0.06591301547138631
Ablation,Full,66,0.6486161574659957,2.3023008701384873,0.9217859064012912,0.07601229871280424,0.08603276262427886
Ablation,w/o HED,66,0.7104010570422837,2.0901125354615093,0.5953200645508337,0.12398770128719572,0.11250738336112256
Ablation,w/o MOG,66,0.7031490552458899,2.116120534296221,0.7028617536309845,0.027213507738808596,0.04039765884970273
Ablation,w/o F&U,66,0.6486161574659957,2.3023008701384873,0.9217859064012912,0.07601229871280424,0.08603276262427886
Ablation,Full,67,0.6716667655082398,2.241168390609828,0.9511955599353973,0.047773213265500436,0.09251859319935177
Ablation,w/o HED,67,0.733547695345429,2.0189557780478538,0.6245585940707892,0.09911944210173118,0.09954087317039542
Ablation,w/o MOG,67,0.7278890788109256,2.0402813151403283,0.7035257726314637,0.0539217019887368,0.051394557858423784
Ablation,w/o F&U,67,0.6716667655082398,2.241168390609828,0.9511955599353973,0.047773213265500436,0.09251859319935177
Ablation,Full,68,0.7292465232687166,2.0916024357447043,0.8569227806662815,0.0034843205574912606,0.0341564715620504
Ablation,w/o HED,68,0.7371266868928789,2.060940089577649,0.6598305411130366,0.07665505226480829,0.06586173011250364
Ablation,w/o MOG,68,0.7377581607355885,2.0584632077370473,0.7069612940496821,0.05226480836236924,0.040606906668746806
Ablation,w/o F&U,68,0.7292465232687166,2.0916024357447043,0.8569227806662815,0.0034843205574912606,0.0341564715620504
Ablation,Full,69,0.6807548100615028,2.2366143884545564,0.9045512987149852,0.0001442085832948914,0.04874140104359702
Ablation,w/o HED,69,0.7175848546782173,2.103647288365388,0.675644439448336,0.11378057221965854,0.08499985769766172
Ablation,w/o MOG,69,0.7128087852205528,2.121360649266542,0.7384092234408044,0.06832602676511312,0.04578906848687253
Ablation,w/o F&U,69,0.6807548100615028,2.2366143884545564,0.9045512987149852,0.0001442085832948914,0.04874140104359702
Ablation,Full,70,0.7090466929652693,2.1429046259009854,0.8412036960782698,0.006098541172688154,0.02839037609493829
Ablation,w/o HED,70,0.7113535361163313,2.1343926375700453,0.5257523100489186,0.2216674034481373,0.14630855318405023
Ablation,w/o MOG,70,0.7190527445744366,2.1057343921499427,0.6309027720587024,0.14382309207089172,0.08694030084115234
Ablation,w/o F&U,70,0.7090466929652693,2.1429046259009854,0.8412036960782698,0.006098541172688154,0.02839037609493829
Ablation,Full,71,0.7236770796730372,2.122180754197695,0.8482582355168496,0.03380846795480941,0.03782267981948058
Ablation,w/o HED,71,0.7389362407171298,2.0627529189769263,0.5641329042029534,0.1974448315911731,0.11616045045230951
Ablation,w/o MOG,71,0.7419475990689508,2.0508215325709225,0.646488072699735,0.13077816492450645,0.06736319959320299
Ablation,w/o F&U,71,0.7236770796730372,2.122180754197695,0.8482582355168496,0.03380846795480941,0.03782267981948058
