bias_type,seed,model,R2,RMSE,DI,EOD,AOD
nonlinear,43,Debiased-HITL,0.7419248557322724,2.051423352234633,0.8232672898369374,0.003583916083916061,0.03725191908207378
nonlinear,43,FE-HITL,0.7419248557322724,2.051423352234633,0.8232672898369374,0.003583916083916061,0.03725191908207378
nonlinear,44,DL,0.726118295681319,2.075907162092035,0.7740692008385541,0.09975748053012701,0.07937309809088829
nonlinear,44,Debiased-HITL,0.7298819745428453,2.061594275341342,0.796747511116279,0.07091132668397315,0.06697431266578707
nonlinear,44,FE-HITL,0.7299360331794369,2.061387971907757,0.796747511116279,0.07091132668397315,0.06697431266578707
nonlinear,45,DL,0.753670565010473,1.973801163698152,0.8179097605893186,0.04816498316498319,0.03675173723046066
nonlinear,45,Debiased-HITL,0.7088737090675303,2.145783784279125,0.8157582938388626,0.04136363636363638,0.055643133462282404
nonlinear,45,FE-HITL,0.7087166261786817,2.1463626060324503,0.8191153238546602,0.03673400673400673,0.05332831864746758
nonlinear,46,DL,0.7359198065400974,2.0642655344266045,0.8948657615374613,0.08543657833991491,0.026307068811368683
nonlinear,46,Debiased-HITL,0.7303806865974299,2.085802319074061,0.8546375312278356,0.10328316068601084,0.04166471510298229
nonlinear,46,FE-HITL,0.7303806865974299,2.085802319074061,0.8546375312278356,0.10328316068601084,0.04166471510298229
nonlinear,47,DL,0.7590676004332654,1.916829894591365,0.7573922587860087,0.10708285605192824,0.07676779577937623
nonlinear,47,Debiased-HITL,0.7559884960629695,1.9290395053778109,0.7689272361738149,0.09066437571592201,0.06401815027629973
nonlinear,47,FE-HITL,0.7579579869201822,1.921238801562085,0.824849216986456,0.04942726231386019,0.035367465061212605
nonlinear,48,DL,0.745845967951908,2.006936987977145,0.7584937885820198,0.08523657674739293,0.061097032263490565
nonlinear,48,Debiased-HITL,0.7424370753424526,2.020351382102668,0.7979799481790166,0.05504610876497462,0.04323677580647388
nonlinear,48,FE-HITL,0.7408007250727701,2.026759074939092,0.8172548261543552,0.05504610876497462,0.03354685332585372
nonlinear,49,DL,0.7472747863403627,2.0038695506645277,0.7712882490309844,0.08985407634556408,0.054363583182449576
nonlinear,49,Debiased-HITL,0.7471064274359343,2.0045369021910133,0.7871237346085945,0.0820115611011244,0.05358213700043643
nonlinear,49,FE-HITL,0.7468881836849462,2.0054016598526365,0.791079130259894,0.0769095202847978,0.051031116592273135
nonlinear,50,DL,0.7557742971752548,2.012624047197227,0.7712399374529448,0.05484762291751322,0.05533824069832009
nonlinear,50,Debiased-HITL,0.6950715009138412,2.2488784427816406,0.7774773034576009,0.05363673303535155,0.04440454354868218
nonlinear,50,FE-HITL,0.6972716230289638,2.2407506941174367,0.7908054858025884,0.03961804144656644,0.03739519775428963
nonlinear,51,DL,0.7489488451006681,1.9963982070533466,0.905484543271707,0.03863952297336848,0.01299074974895073
nonlinear,51,Debiased-HITL,0.7363434278740755,2.0459045116956824,0.8808035335743524,0.05518364062042724,0.028072147093880895
nonlinear,51,FE-HITL,0.7363434278740755,2.0459045116956824,0.8808035335743524,0.05518364062042724,0.028072147093880895
nonlinear,52,DL,0.7319722368815893,2.018054909189149,0.894593366651522,0.001504150877903454,0.01155465587730569
nonlinear,52,Debiased-HITL,0.7151378369136308,2.0804652765043254,0.8939453453790471,0.02612015851436178,0.007475241494512029
nonlinear,52,FE-HITL,0.7151378369136308,2.0804652765043254,0.8939453453790471,0.02612015851436178,0.007475241494512029
nonlinear,53,DL,0.74622470395952,2.022127115123383,0.7692788113864967,0.08300129614516827,0.06465185477366972
nonlinear,53,Debiased-HITL,0.71324803675979,2.149497682515735,0.7648664934282379,0.0930344198550237,0.05424107561217912
nonlinear,53,FE-HITL,0.7187542970791321,2.1287601371392246,0.8003238805408052,0.060601987422591264,0.035932809186757876
nonlinear,54,DL,0.7343056534946713,2.0633514633371206,0.8028508331660309,0.06101826661484655,0.038191277193046574
nonlinear,54,Debiased-HITL,0.7193364786795479,2.120679501174571,0.8071592273272946,0.06831010678659333,0.02996248313598296
nonlinear,54,FE-HITL,0.7193364786795479,2.120679501174571,0.8071592273272946,0.06831010678659333,0.02996248313598296
nonlinear,55,DL,0.7226413988118523,2.0919751439193472,0.833916083916084,0.047647675001138534,0.03172840777938503
nonlinear,55,Debiased-HITL,0.7123054095082058,2.130598166209012,0.8536852757631977,0.027708703374777932,0.01586642412199661
nonlinear,55,FE-HITL,0.7123054095082058,2.130598166209012,0.8536852757631977,0.027708703374777932,0.01586642412199661
nonlinear,56,DL,0.7349129420830657,2.0488142560452034,0.810767329618317,0.054996140469561694,0.04087298360969423
nonlinear,56,Debiased-HITL,0.6865366521327771,2.22793085750842,0.8874323168994014,0.023694914960233904,0.012491540477141128
nonlinear,56,FE-HITL,0.6865366521327771,2.22793085750842,0.8874323168994014,0.023694914960233904,0.012491540477141128
interaction,42,DL,0.7375100083270176,1.9751493690514363,0.835536858974359,0.06804906542056077,0.05582949939713684
interaction,42,Debiased-HITL,0.7282897114730003,2.009539798113672,0.8771780705482363,0.04943049065420557,0.03919889160208764
interaction,42,FE-HITL,0.7282897114730003,2.009539798113672,0.8771780705482363,0.04943049065420557,0.03919889160208764
interaction,43,DL,0.7349176800935933,2.06245277350985,0.7647530736787173,0.059113300492610765,0.06262201535301415
interaction,43,Debiased-HITL,0.7341905610386419,2.06527948360214,0.7819292576032583,0.037413481324437226,0.04947523525500261
interaction,43,FE-HITL,0.7338296338140384,2.0666811695758467,0.7777478177230269,0.042339589698821456,0.051938289442194724
interaction,44,DL,0.7217595340022664,2.0760449672224235,0.782575455792824,0.08152140625957005,0.0673295290407162
interaction,44,Debiased-HITL,0.726645084092066,2.057737889274174,0.7745145545010814,0.09710470823963813,0.07494405452467735
interaction,44,FE-HITL,0.726797948529315,2.0571624488586546,0.8119910652027466,0.06754805799333263,0.053915729401524615
