Exp,ratio,seed,model,R2,RMSE,DI,EOD,AOD
IntervSens,0.25,54,DL,0.7299611838927647,2.0642178935452744,0.6678314890312561,0.10749847170847449,0.06244886955387095
IntervSens,0.25,54,FE-HITL,0.7119531167105346,2.1319353509637113,0.6523219814241487,0.12456353030161749,0.06567968302241083
IntervSens,0.25,55,DL,0.7132746373923626,2.1104611553621053,0.6552088044625358,0.11786669213139811,0.09320753961408615
IntervSens,0.25,55,FE-HITL,0.7132088162548051,2.110703381897975,0.7247182569496619,0.06272918258212379,0.051562538505138145
IntervSens,0.25,56,DL,0.7315064629366768,2.039229174637424,0.6644244644244643,0.08504222558379504,0.06592067294771946
IntervSens,0.25,56,FE-HITL,0.6673429425243088,2.269851725634831,0.7814793901750423,0.043968703980124424,0.025864888509888967
IntervSens,0.25,57,DL,0.7496941724633397,2.0159278759848123,0.6451101321585903,0.09866417312316322,0.11047094770044275
IntervSens,0.25,57,FE-HITL,0.720888571893661,2.1287679317653363,0.7459129472765199,0.05731587852880926,0.0625323981388635
IntervSens,0.25,58,DL,0.7533642163418953,1.9960052989620036,0.697144903027256,0.0784837999370871,0.08268552741952395
IntervSens,0.25,58,FE-HITL,0.7198868349276271,2.1271612189922924,0.6475400148578375,0.13337527524378734,0.09548665722973682
IntervSens,0.25,59,DL,0.7109070548382239,2.0584831640832215,0.65788928053079,0.14008803768630784,0.10413475394137627
IntervSens,0.25,59,FE-HITL,0.7108320866048131,2.058750052026164,0.6647304168967947,0.14385280716657656,0.10025241298446114
IntervSens,0.25,60,DL,0.7324005575522534,2.008655618391621,0.7057730650715969,0.038954982589952,0.047827121109727186
IntervSens,0.25,60,FE-HITL,0.7265081841852201,2.030649876687188,0.7353072525902108,0.03175261150721276,0.03565856810092448
IntervSens,0.25,61,DL,0.7217364048155819,2.0276581757833383,0.7342016599556249,0.12907191753875213,0.06951603845065096
IntervSens,0.25,61,FE-HITL,0.7177561451867944,2.042108413573461,0.7640113287326977,0.09318199700999286,0.055555141931291255
IntervSens,0.25,62,DL,0.7448087402191026,1.986338418909546,0.5925913277096638,0.11893178212585931,0.10358682813346563
IntervSens,0.25,62,FE-HITL,0.7240581410654885,2.065518730203424,0.5949647827252567,0.11993654151242727,0.0904142741439857
IntervSens,0.25,63,DL,0.7421965795006824,2.043043409306394,0.7266517357222845,0.08297872340425527,0.046812756024844304
IntervSens,0.25,63,FE-HITL,0.7088109296962831,2.1713047960846175,0.7650550137100414,0.06987732413264325,0.038334490693684026
IntervSens,0.25,64,DL,0.7357144081101157,2.0022861824528757,0.5808302698825429,0.1518163966617575,0.10305505754514924
IntervSens,0.25,64,FE-HITL,0.6746994424630617,2.2214257949408127,0.6140350877192982,0.09131075110456555,0.04832815001717642
IntervSens,0.25,65,DL,0.7576145512391226,1.9953507097485124,0.6334376070151947,0.08358227532984808,0.0616137540729063
IntervSens,0.25,65,FE-HITL,0.751511600660981,2.0203147151176672,0.7047140279158842,0.058252427184465994,0.027618453060082218
IntervSens,0.25,66,DL,0.7209403173827079,2.051727746916431,0.6241258741258742,0.11587888894679244,0.07819814869146999
IntervSens,0.25,66,FE-HITL,0.6954123074975213,2.1435191073357363,0.6836578805809576,0.05301995935171189,0.05512570217440255
IntervSens,0.25,67,DL,0.7438668901716516,1.9794745721821252,0.5989393413968607,0.13468636359514297,0.1122354061901557
IntervSens,0.25,67,FE-HITL,0.7165477366127471,2.082365839212516,0.6999363554241603,0.07652057204523399,0.05721954033192786
IntervSens,0.25,68,DL,0.7355035110812693,2.0672931877684877,0.689922480620155,0.060477849676455975,0.0563894223506658
IntervSens,0.25,68,FE-HITL,0.733625217850972,2.0746205317701705,0.7069612940496821,0.058362369337979,0.04179001551476064
IntervSens,0.25,69,DL,0.726131153849223,2.0715730346508736,0.6825601831637576,0.11052145823719428,0.07256045837484813
IntervSens,0.25,69,FE-HITL,0.7093007419630477,2.1342775436499237,0.7347171773236003,0.09105329949238583,0.051658199356003395
IntervSens,0.25,70,DL,0.7344579940009398,2.0471883871527616,0.6351640065351263,0.1479624643330788,0.11371370126703825
IntervSens,0.25,70,FE-HITL,0.7098710449303689,2.1398667489896113,0.5870900795546258,0.17975123578346652,0.11233931693535795
IntervSens,0.25,71,DL,0.7495309768988754,2.0204631199319083,0.5838157894736842,0.1855453489599831,0.12093308977574355
IntervSens,0.25,71,FE-HITL,0.7345738478783055,2.0799158869009213,0.6341347974252176,0.14289937704571853,0.07514201871222828
