Exp,bias,seed,model,R2,RMSE,DI,EOD,AOD
BiasSens,0.1,71,DL,0.7492322604463052,2.0256756340067885,0.8252261893180269,0.06958491864711391,0.026475915612469744
BiasSens,0.1,71,Debiased-HITL,0.7405038268361952,2.0606277799918034,0.7913132345426673,0.10039577079708628,0.042422901683214345
BiasSens,0.1,71,FE-HITL,0.740284055026994,2.061500186017955,0.7868676545733265,0.10039577079708628,0.044324042367624994
BiasSens,0.2,42,LR,0.7390851812758733,1.961407505678808,0.8034188034188035,0.054807692307692335,0.05745192307692309
BiasSens,0.2,42,DL,0.7352234835047855,1.9758692028735165,0.8226161858974359,0.0346153846153846,0.04637920673076922
BiasSens,0.2,42,Debiased-HITL,0.7281463141464174,2.0021014163187796,0.8143252238316223,0.044230769230769296,0.057256610576923106
BiasSens,0.2,42,FE-HITL,0.7281463141464174,2.0021014163187796,0.8143252238316223,0.044230769230769296,0.057256610576923106
BiasSens,0.2,43,LR,0.7411126045351937,2.0310806618419868,0.7349335093841365,0.0638694638694639,0.06068076018527463
BiasSens,0.2,43,DL,0.7328987657613388,2.0630495811729284,0.7232927185735605,0.07121897710133007,0.06958564232422026
BiasSens,0.2,43,Debiased-HITL,0.7338492276544843,2.0593756979069706,0.7690873537375114,0.048484848484848464,0.04128555508207567
BiasSens,0.2,43,FE-HITL,0.7345911709928179,2.0565032538299555,0.8348916192979401,0.007459207459207473,0.005735140584292767
BiasSens,0.2,44,LR,0.7293670250302495,2.038694528024805,0.695580977158817,0.1490688152159556,0.11932544436132055
BiasSens,0.2,44,DL,0.7200267042820058,2.073576709800828,0.7183217817060374,0.12639457579359836,0.09992543410388109
BiasSens,0.2,44,Debiased-HITL,0.7230852138122539,2.062219430205871,0.7414840418861298,0.11323911416369481,0.090130945914744
BiasSens,0.2,44,FE-HITL,0.7207327758847016,2.0709603569155073,0.8326161587659894,0.06348787038260029,0.04046193559444468
BiasSens,0.2,45,LR,0.7514000910130825,1.962848345996794,0.7358657243816253,0.06944768522119371,0.0686443689389323
BiasSens,0.2,45,DL,0.7473203657764291,1.9788887678529077,0.7646925858951177,0.06837606837606836,0.05135886046948952
BiasSens,0.2,45,Debiased-HITL,0.7271942566299685,2.0561889377411413,0.7358414239482202,0.08339598835048789,0.08400926208304114
BiasSens,0.2,45,FE-HITL,0.7150485581047996,2.101462735137955,0.8424352750809061,0.010932220234545875,0.018473348721040825
BiasSens,0.2,46,LR,0.7367122943565831,2.0368440306817304,0.7802524127691165,0.12259364993634503,0.07085265311470532
BiasSens,0.2,46,DL,0.7278365335990657,2.0708917523078934,0.8203387752600069,0.09783573164615567,0.05134468271766085
BiasSens,0.2,46,Debiased-HITL,0.7312780595730443,2.057756811980924,0.7985615849099081,0.11106824582384944,0.06382921778872874
BiasSens,0.2,46,FE-HITL,0.7313688655301513,2.0574091061614395,0.7901111977680043,0.11617028664017592,0.06835652278187221
BiasSens,0.2,47,LR,0.7587127729472101,1.899944014542379,0.6762472688644512,0.1302820799243225,0.09807967072491897
BiasSens,0.2,47,DL,0.7551148784117518,1.9140568706816226,0.6914717913720486,0.1174108625426441,0.08875141311901094
BiasSens,0.2,47,Debiased-HITL,0.7404902063471528,1.9703823736615922,0.7149979858783471,0.1005947528907406,0.08580558104956577
BiasSens,0.2,47,FE-HITL,0.7209835294811644,2.043094985976657,0.8636211627182282,0.023246686592398036,0.003238418129402121
BiasSens,0.2,48,LR,0.7453880790896186,1.9866187760536067,0.7164021605863797,0.12937592352737293,0.06599418079557567
BiasSens,0.2,48,DL,0.7400913899472323,2.007176217185995,0.6894506526434406,0.12064687961763687,0.07989687393408841
BiasSens,0.2,48,Debiased-HITL,0.7380262709765866,2.015134507857142,0.7322229606246884,0.12065600087564077,0.059680846327796244
BiasSens,0.2,48,FE-HITL,0.7305359666557054,2.043739656818278,0.8261980999561993,0.06306437783899155,0.006987975985942224
BiasSens,0.2,49,LR,0.7472726786452967,1.9807622809590542,0.7181182048184532,0.12384997774150464,0.06970802334438429
BiasSens,0.2,49,DL,0.741567539419683,2.0029946598040933,0.7126384752829065,0.12915491912746702,0.06776180416771684
BiasSens,0.2,49,Debiased-HITL,0.7403635279398105,2.0076551157662945,0.7650618433302301,0.10659964386407472,0.04783267444312053
BiasSens,0.2,49,FE-HITL,0.7264040738347579,2.0609197130180736,0.9063040297911957,0.025077904733640022,0.034266777799262155
BiasSens,0.2,50,LR,0.7543525001350919,1.9998254194660792,0.7142231228435292,0.09120400094616965,0.07529197481403684
BiasSens,0.2,50,DL,0.7515146867153911,2.0113436215473093,0.7276674937965261,0.09906058865272194,0.06428212983746719
BiasSens,0.2,50,Debiased-HITL,0.6985383581418396,2.215398922823292,0.7117404351087772,0.09532659750616701,0.06026841193234964
BiasSens,0.2,50,FE-HITL,0.7049317928532247,2.1917808045426157,0.7980120030007501,0.03592065691210755,0.015356316160034744
BiasSens,0.2,51,LR,0.7535560427401484,1.956646006924136,0.8279164436659693,0.0543165467625899,0.03492881066535708
