seed,model,Accuracy,DI,EOD,AOD
64,DL,0.6866666666666666,1.5541490857946556,0.15000000000000002,0.10649955634427685
64,Debiased-HITL,0.68,1.0568213783403657,0.016666666666666663,0.00744602188701568
64,FE-HITL,0.68,1.0568213783403657,0.016666666666666663,0.00744602188701568
65,LR,0.7766666666666666,1.7117224880382778,0.13716108452950565,0.09937233112105781
65,DL,0.7466666666666667,1.3490909090909091,0.054226475279106845,0.04705458661316046
65,Debiased-HITL,0.74,0.9636363636363636,0.09728867623604465,0.055975716417142565
65,FE-HITL,0.74,0.9636363636363636,0.09728867623604465,0.055975716417142565
66,LR,0.74,1.1666666666666667,0.006302521008403339,0.0017188693659282023
66,DL,0.72,1.1264367816091954,0.02941176470588236,0.00658899923605806
66,Debiased-HITL,0.72,1.1264367816091954,0.02941176470588236,0.00658899923605806
66,FE-HITL,0.72,1.1264367816091954,0.02941176470588236,0.00658899923605806
67,LR,0.73,1.3976284584980236,0.1769505354411015,0.08261016508125457
67,DL,0.7133333333333334,1.3882532418001525,0.0581336053034166,0.05956533637604847
67,Debiased-HITL,0.6933333333333334,0.9916094584286802,0.15808261091279957,0.0667245899138778
67,FE-HITL,0.6933333333333334,0.9916094584286802,0.15808261091279957,0.0667245899138778
68,LR,0.7266666666666667,1.6941580756013745,0.22724703222159415,0.16789029324418564
68,DL,0.7,1.2720840913685059,0.04013566986998307,0.06056079268147041
68,Debiased-HITL,0.6766666666666666,0.9027693551647462,0.2357263990955342,0.08472318297775881
68,FE-HITL,0.6766666666666666,0.9027693551647462,0.2357263990955342,0.08472318297775881
69,LR,0.73,1.3140495867768593,0.10769230769230764,0.09466248037676606
69,DL,0.7,1.2460815047021943,0.09846153846153849,0.08097680097680099
69,Debiased-HITL,0.7,1.2460815047021943,0.09846153846153849,0.08097680097680099
69,FE-HITL,0.7,1.2460815047021943,0.09846153846153849,0.08097680097680099
70,LR,0.7733333333333333,1.5750999428897774,0.12544620091789904,0.08166249439834347
70,DL,0.7433333333333333,1.743860651056539,0.04436511983681796,0.08657649931234837
70,Debiased-HITL,0.7366666666666667,1.0688178183894919,0.14482406935237124,0.04589688316103411
70,FE-HITL,0.7366666666666667,1.0688178183894919,0.14482406935237124,0.04589688316103411
71,LR,0.7666666666666667,1.3603092783505153,0.10685805422647526,0.064559164099539
71,DL,0.75,1.6647141518275537,0.13237639553429031,0.1251565196849534
71,Debiased-HITL,0.7266666666666667,1.1415182755388942,0.14035087719298245,0.026832116678683002
71,FE-HITL,0.7266666666666667,1.1415182755388942,0.14035087719298245,0.026832116678683002
