fold,model,Acc,DI,EOD
2,DL,0.745,1.3591269841269842,0.015276145710928335
2,Debiased-HITL,0.745,1.3591269841269842,0.015276145710928335
2,FE-HITL,0.74,1.0873015873015872,0.05875440658049355
2,DL,0.725,1.0873015873015872,0.0011750881316098527
2,Debiased-HITL,0.725,1.0873015873015872,0.0011750881316098527
2,FE-HITL,0.725,1.0873015873015872,0.0011750881316098527
2,DL,0.685,0.0,0.02702702702702703
2,Debiased-HITL,0.685,0.0,0.02702702702702703
2,FE-HITL,0.685,0.0,0.02702702702702703
2,DL,0.735,1.7564102564102564,0.11633372502937717
2,Debiased-HITL,0.73,0.8363858363858364,0.14453584018801413
2,FE-HITL,0.72,1.170940170940171,0.10105757931844889
2,DL,0.735,1.5657142857142856,0.099882491186839
2,Debiased-HITL,0.735,1.2177777777777776,0.012925969447708574
2,FE-HITL,0.735,1.2177777777777776,0.012925969447708574
2,DL,0.76,1.9571428571428573,0.099882491186839
2,Debiased-HITL,0.745,0.10873015873015873,0.3349001175088132
2,FE-HITL,0.755,1.4134920634920636,0.03055229142185667
2,DL,0.76,1.6073153899240855,0.07285546415981198
2,Debiased-HITL,0.755,1.3236714975845412,0.014101057579318454
2,FE-HITL,0.76,1.4182194616977226,0.029377203290246734
2,DL,0.76,1.6727716727716728,0.13278495887191533
2,Debiased-HITL,0.75,0.6691086691086691,0.17156286721504116
2,FE-HITL,0.755,1.0873015873015872,0.04112808460634548
2,DL,0.775,1.499726327312534,0.051703877790834296
2,Debiased-HITL,0.775,1.1997810618500273,0.03525264394829608
2,FE-HITL,0.775,1.1997810618500273,0.03525264394829608
2,DL,0.73,1.3979591836734693,0.07285546415981198
2,Debiased-HITL,0.735,1.3202947845804989,0.07285546415981198
2,FE-HITL,0.72,1.0873015873015872,0.0575793184488837
2,DL,0.74,2.509157509157509,0.21856639247943593
2,Debiased-HITL,0.715,0.0,0.21621621621621623
2,FE-HITL,0.715,1.0036630036630036,0.08578143360752058
2,DL,0.735,1.2545787545787546,0.014101057579318454
2,Debiased-HITL,0.74,1.170940170940171,0.014101057579318454
2,FE-HITL,0.735,1.0873015873015872,0.0575793184488837
2,DL,0.775,1.421855921855922,0.008225616921269108
2,Debiased-HITL,0.775,1.421855921855922,0.008225616921269108
2,FE-HITL,0.775,1.2545787545787546,0.05170387779083435
2,DL,0.74,1.5532879818594103,0.08930669800235014
2,Debiased-HITL,0.74,1.2426303854875282,0.0023501762632197054
2,FE-HITL,0.735,1.3202947845804989,0.0023501762632197054
2,DL,0.74,1.8121693121693119,0.1433607520564042
2,Debiased-HITL,0.735,0.6342592592592592,0.16098707403055232
2,FE-HITL,0.74,1.2685185185185184,0.012925969447708574
2,DL,0.73,1.630952380952381,0.10458284371327847
2,Debiased-HITL,0.71,0.0,0.24324324324324326
2,FE-HITL,0.735,1.2232142857142856,0.061104582843713284
2,DL,0.755,1.2626728110599077,0.03525264394829608
2,Debiased-HITL,0.755,1.2626728110599077,0.03525264394829608
2,FE-HITL,0.74,1.0522273425499231,0.09518213866039954
2,DL,0.725,1.3236714975845412,0.06698002350176263
2,Debiased-HITL,0.73,1.2291235334713595,0.06698002350176263
2,FE-HITL,0.725,1.134575569358178,0.023501762632197387
2,DL,0.77,2.381708238851096,0.27379553466509987
2,Debiased-HITL,0.735,0.0,0.3783783783783784
2,FE-HITL,0.765,1.656840513983371,0.099882491186839
2,DL,0.755,1.215219421101774,0.051703877790834296
2,Debiased-HITL,0.755,1.215219421101774,0.051703877790834296
2,FE-HITL,0.755,1.215219421101774,0.051703877790834296
2,DL,0.71,1.1247947454844007,0.0575793184488837
2,Debiased-HITL,0.71,1.1247947454844007,0.0575793184488837
2,FE-HITL,0.71,1.1247947454844007,0.0575793184488837
2,DL,0.735,1.3289241622574954,0.007050528789659227
2,Debiased-HITL,0.735,1.3289241622574954,0.007050528789659227
2,FE-HITL,0.735,1.0873015873015872,0.03642773207990602
2,DL,0.74,1.5532879818594103,0.009400705052878988
2,Debiased-HITL,0.735,0.15532879818594103,0.22679200940070507
2,FE-HITL,0.74,0.9319727891156462,0.09635722679200942
2,DL,0.735,2.0073260073260073,0.1316098707403055
