bias,model,metric,mean,sd,n,ci_low,ci_high,seeds,display
0.1,Debiased-HITL,DI,0.8690461888648754,0.05397717641267067,30,0.8497310592784878,0.888361318451263,42-71,"0.869 ± 0.054 [0.850, 0.888]"
0.1,Debiased-HITL,EOD,0.04044561148589325,0.027008680541670427,30,0.030780856874956394,0.0501103660968301,42-71,"0.040 ± 0.027 [0.031, 0.050]"
0.1,Debiased-HITL,AOD,0.031989058974203635,0.017722076485158698,30,0.02564741188185294,0.03833070606655433,42-71,"0.032 ± 0.018 [0.026, 0.038]"
0.1,FE-HITL,R2,0.731084770543752,0.014333323518975243,30,0.7259557508437212,0.7362137902437828,42-71,"0.731 ± 0.014 [0.726, 0.736]"
0.1,FE-HITL,RMSE,2.051136743369653,0.04677335047994229,30,2.0343994224175046,2.0678740643218014,42-71,"2.051 ± 0.047 [2.034, 2.068]"
0.1,FE-HITL,DI,0.8694898957585152,0.05344632332718871,30,0.8503647260184712,0.8886150654985592,42-71,"0.869 ± 0.053 [0.850, 0.889]"
0.1,FE-HITL,EOD,0.03997825244650821,0.026737832413019212,30,0.03041041781269526,0.04954608708032116,42-71,"0.040 ± 0.027 [0.030, 0.050]"
0.1,FE-HITL,AOD,0.03174782882484254,0.01739279514975358,30,0.025524011379880286,0.037971646269804794,42-71,"0.032 ± 0.017 [0.026, 0.038]"
0.2,LR,R2,0.7421671045428926,0.012025595628922877,30,0.7378638794880967,0.7464703295976884,42-71,"0.742 ± 0.012 [0.738, 0.746]"
0.2,LR,RMSE,2.0011388354350923,0.03683407096760385,30,1.9879581746221926,2.014319496247992,42-71,"2.001 ± 0.037 [1.988, 2.014]"
0.2,LR,DI,0.7427461481751145,0.05159032457371109,30,0.7242851268551643,0.7612071694950647,42-71,"0.743 ± 0.052 [0.724, 0.761]"
0.2,LR,EOD,0.08907050307715482,0.035948320579419955,30,0.07620679814572179,0.10193420800858785,42-71,"0.089 ± 0.036 [0.076, 0.102]"
0.2,LR,AOD,0.06878937280772786,0.022256879317663084,30,0.0608249971812114,0.07675374843424432,42-71,"0.069 ± 0.022 [0.061, 0.077]"
0.2,DL,R2,0.7356428690296535,0.012560612069861943,30,0.7311481943182735,0.7401375437410335,42-71,"0.736 ± 0.013 [0.731, 0.740]"
0.2,DL,RMSE,2.0262816351817268,0.03820976455639202,30,2.0126086977863054,2.039954572577148,42-71,"2.026 ± 0.038 [2.013, 2.040]"
0.2,DL,DI,0.7436782266888218,0.05254443107020216,30,0.7248757890176707,0.7624806643599729,42-71,"0.744 ± 0.053 [0.725, 0.762]"
0.2,DL,EOD,0.08662582194980702,0.03622699150370111,30,0.07366239774122436,0.09958924615838967,42-71,"0.087 ± 0.036 [0.074, 0.100]"
0.2,DL,AOD,0.06756869303365917,0.02292409617397423,30,0.05936556130876246,0.07577182475855589,42-71,"0.068 ± 0.023 [0.059, 0.076]"
0.2,Debiased-HITL,R2,0.7260285787084139,0.0170118240294783,30,0.719941087522916,0.7321160698939118,42-71,"0.726 ± 0.017 [0.720, 0.732]"
0.2,Debiased-HITL,RMSE,2.0625580683463522,0.06085812571264568,30,2.0407806679218186,2.084335468770886,42-71,"2.063 ± 0.061 [2.041, 2.084]"
0.2,Debiased-HITL,DI,0.7652595807365928,0.049941640341935246,30,0.747388522651109,0.7831306388220767,42-71,"0.765 ± 0.050 [0.747, 0.783]"
0.2,Debiased-HITL,EOD,0.07211188669491912,0.034236305690872874,30,0.059860807165995095,0.08436296622384315,42-71,"0.072 ± 0.034 [0.060, 0.084]"
0.2,Debiased-HITL,AOD,0.055628463472931794,0.01914896440527774,30,0.04877622047849755,0.06248070646736604,42-71,"0.056 ± 0.019 [0.049, 0.062]"
0.2,FE-HITL,R2,0.7221772774274434,0.01594598425275372,30,0.7164711850992769,0.72788336975561,42-71,"0.722 ± 0.016 [0.716, 0.728]"
0.2,FE-HITL,RMSE,2.0771269692794347,0.056071139920360634,30,2.0570625382440237,2.0971914003148457,42-71,"2.077 ± 0.056 [2.057, 2.097]"
0.2,FE-HITL,DI,0.8338674743552876,0.04223232061203547,30,0.8187551102123598,0.8489798384982155,42-71,"0.834 ± 0.042 [0.819, 0.849]"
0.2,FE-HITL,EOD,0.03972969108715621,0.027849705328056973,30,0.0297639851517146,0.04969539702259782,42-71,"0.040 ± 0.028 [0.030, 0.050]"
0.2,FE-HITL,AOD,0.02544784543466804,0.01953914024412833,30,0.018455982375055517,0.032439708494280566,42-71,"0.025 ± 0.020 [0.018, 0.032]"
